ID	source_form	phon_form	notes	source	cognate_class	reliability
001	TUTI			DyenDB	001-003	A
002	EDHE			DyenDB	002-007	A
003	KAFSE			DyenDB	003-003	A
004	XII			DyenDB	004-010	A
005	NDE			DyenDB	005-003	A
006	RAXOKOKALEE			DyenDB	006-212	A
007	PALHO			DyenDB		A
008	FUDHE			DyenDB		A
009	PSE			DyenDB	009-203	A
010	BARK			DyenDB	010-005	A
011	I MATH			DyenDB	011-200	A
012	ZOK			DyenDB	012-004	A
013	ZEE AAJ			DyenDB	013-009	A
014	I ZII			DyenDB	014-011	A
015	GAK			DyenDB	015-007	A
016	FRIIN			DyenDB	016-004	A
017	KOKAU			DyenDB		A
019	MAR FRIIME			DyenDB	019-004	A
020	DIGEM			DyenDB	020-204	A
021	DJALE			DyenDB		A
022	REE			DyenDB	022-002	A
023	FTOXETE			DyenDB	023-008	A
024	VIN (AOR. ERDHA, PPLE. ARDHURE, IMPV. EA)			DyenDB	024-208	A
025	MENDERON			DyenDB		A
026	SKLHIEN, PRES			DyenDB	026-005	A
027	DITE			DyenDB	027-003	A
028	VDES, (AOR. VDIKA)			DyenDB	028-004	A
029	REMON			DyenDB	029-211	A
030	I PERGUAM			DyenDB		A
031	KEN			DyenDB	031-009	A
032	PII			DyenDB	032-004	A
033	THAATE			DyenDB	033-003	A
034	I PAA ECURE			DyenDB		A
035	SKON			DyenDB		A
036	VES			DyenDB	036-002	A
037	BOTE			DyenDB	037-003	A
038	XAA (AOR. XENGERA, PPLE. GRENE)			DyenDB	038-200	A
039	VEE			DyenDB	039-006	A
040	SII			DyenDB	040-007	A
041	BIE (AOR. RAASE)			DyenDB	041-011	A
042	PARE			DyenDB	042-200	A
043	LHIPOS			DyenDB		A
044	TATE			DyenDB	044-203	A
045	TREMBEM			DyenDB	045-008	A
046	PENDE			DyenDB	046-004	A
047	CA			DyenDB		A
048	LEKSEM			DyenDB		A
050	ZJARM			DyenDB	050-008	A
051	PISK			DyenDB	051-008	A
052	PESE			DyenDB	052-002	A
053	VETE MBII DEET			DyenDB		A
054	RETH			DyenDB	054-006	A
055	LULE			DyenDB	055-005	A
056	FURTULON			DyenDB	056-007	A
057	MNENK			DyenDB		A
058	KEMBE			DyenDB	058-006	A
059	KATRE			DyenDB	059-002	A
060	FTOXEM			DyenDB		A
061	FRUTO			DyenDB	061-008	A
063	JAP (AOR. DHASE, PPLE. DHENE)			DyenDB	063-200	A
064	MIRE			DyenDB	064-010	A
065	BAAR			DyenDB	065-013	A
066	BIME (PLANTS), I-RIMTE (OBJECTS)			DyenDB		A
067	ZORE			DyenDB	067-006	A
068	LES			DyenDB	068-005	A
069	DORE			DyenDB	069-203	A
070	AJ			DyenDB	070-212	A
071	KRIE			DyenDB	071-003	A
072	GIGEM (AOR. GEJSE)			DyenDB	072-208	A
073	ZEMERE			DyenDB	073-002	A
074	IRENDE			DyenDB	074-002	A
075	KETU			DyenDB	075-005	A
076	I BIE (AOR. I-RAASE)			DyenDB	076-002	A
077	MBAA   BAA			DyenDB	077-008	A
079	SI			DyenDB	079-200	A
080	KINIJISIN			DyenDB		A
081	BURE (MAN)			DyenDB	081-211	A
082	U			DyenDB	082-200	A
083	PAGHO			DyenDB		A
084	PO			DyenDB	084-009	A
085	NDE, MENDA			DyenDB	085-207	A
086	VRAS (AOR. VRAVA)			DyenDB	086-010	A
088	DII			DyenDB	088-205	A
089	LUCE			DyenDB		A
090	KESIN			DyenDB	090-201	A
091	FLETE			DyenDB	091-209	A
092	ZERVIST			DyenDB		A
093	KEMBE			DyenDB	093-013	A
094	RII   STRIXEM   JAM GLHATURE (LONG)			DyenDB	094-007	A
095	RON			DyenDB	095-004	A
096	SPREKE			DyenDB		A
097	I GLHATE			DyenDB	097-203	A
098	MOR			DyenDB	098-004	A
099	BURE			DyenDB	099-213	A
100	SUME			DyenDB	100-005	A
101	MIS			DyenDB	101-007	A
103	MEME			DyenDB	103-209	A
104	MAL			DyenDB	104-007	A
105	GOLHE			DyenDB	105-004	A
106	EMER			DyenDB	106-003	A
107	I NGUSTE			DyenDB	107-003	A
108	NDANE			DyenDB	108-012	A
109	ZHERK (NAPE), GRIKE (THROAT)			DyenDB		A
110	I RII			DyenDB	110-003	A
111	NATE			DyenDB	111-004	A
112	XUNDE			DyenDB	112-008	A
113	JOO (PRED. NEG.), NUKU  S(+VERB), MOS (MODAL), PAA'UN			DyenDB	113-005	A
114	I-VJETERE			DyenDB	114-009	A
115	NE			DyenDB	115-202	A
116	NETRE			DyenDB	116-005	A
117	NERII			DyenDB	117-003	A
118	LUAN			DyenDB	118-007	A
119	XELHKIN			DyenDB	119-009	A
120	STIIN (AOR. STIIJTA)			DyenDB	120-200	A
121	BIE SII			DyenDB	121-012	A
122	I KUK			DyenDB	122-011	A
123	DREK			DyenDB	123-005	A
124	DJATHETIST			DyenDB	124-002	A
125	LUME			DyenDB	125-009	A
126	DHROM			DyenDB	126-009	A
127	RENE			DyenDB	127-003	A
128	TELH			DyenDB		A
129	I KALHBETE			DyenDB	129-203	A
131	KRUAN			DyenDB		A
132	KRIPE			DyenDB	132-005	A
133	SUUR			DyenDB	133-011	A
134	THOM (AOR. THASE, PPLE. THENE)			DyenDB	134-012	A
135	KRUAN			DyenDB	135-006	A
136	DEET			DyenDB	136-205	A
137	SOX (AOR. PAASE, PPLE. PAARE)			DyenDB	137-005	A
138	KOKE (SING.), FARE (COLLECTIVE)			DyenDB	138-006	A
139	KEPIN			DyenDB	139-007	A
140	I-ECURE			DyenDB		A
141	I SKURTERE			DyenDB	141-010	A
142	KENDON			DyenDB	142-009	A
143	RII (PER DHEEU), (AOR. MBETA (...) NDINA)			DyenDB	143-005	A
144	LEKURE			DyenDB	144-003	A
145	INEZOT			DyenDB		A
146	FLEE (AOR. FJETA)			DyenDB	146-010	A
147	I VOGELE			DyenDB	147-009	A
148	BIE EERE			DyenDB	148-006	A
149	KAMNUA			DyenDB	149-005	A
150	MALAKO			DyenDB		A
151	GARPER			DyenDB	151-010	A
152	BORE			DyenDB	152-005	A
153	CA			DyenDB	153-204	A
154	PESTIIN			DyenDB	154-002	A
155	SKIER			DyenDB	155-007	A
156	STRIDHIN			DyenDB	156-016	A
157	CEPON ME THIKE			DyenDB	157-005	A
158	RII (AOR. (M)BETA  (N)DINA)			DyenDB	158-003	A
159	IIU			DyenDB	159-006	A
160	SKOP			DyenDB	160-009	A
161	GUUR			DyenDB	161-007	A
162	I DREJTE			DyenDB	162-012	A
163	MENT   PII SI LEPUSE			DyenDB		A
164	DIEU			DyenDB	164-004	A
165	FRIXEM			DyenDB	165-011	A
166	LUAN NOT			DyenDB	166-009	A
167	BIST			DyenDB	167-017	A
168	AJ (M.), AJO (F.), ATA (N. +M. PL.)			DyenDB	168-200	A
169	ATJE			DyenDB	169-203	A
170	ATA			DyenDB	170-200	A
171	I TRAS			DyenDB	171-004	A
172	I XOU			DyenDB	172-006	A
173	SKEPSEM			DyenDB		A
174	KII (M.), KIJO (F.), KETA (N. +M. PL.)			DyenDB	174-200	A
175	TI			DyenDB	175-200	A
176	TRE (M.), TRII (F.)			DyenDB	176-002	A
177	STIE (AOR. STIVA, PPLE. STIIRE )			DyenDB	177-010	A
178	LIDHIN			DyenDB	178-200	A
179	GLHUXE			DyenDB	179-201	A
180	DHEMP			DyenDB	180-002	A
181	DHENDRO			DyenDB		A
182	PRIREM			DyenDB	182-004	A
183	DI (M.), DII (F.)			DyenDB	183-002	A
184	VIEU (AOR. VOWA)			DyenDB	184-007	A
185	ECEN			DyenDB	185-012	A
186	NGROXETE			DyenDB	186-002	A
187	LAAN			DyenDB	187-008	A
188	UJE			DyenDB	188-004	A
189	NA			DyenDB	189-002	A
190	I-NOTISURE   I-LAGURE			DyenDB	190-008	A
191	CE			DyenDB	191-003	A
192	KUUR			DyenDB	192-200	A
193	KU			DyenDB	193-200	A
194	I BARDH			DyenDB	194-004	A
195	KUS			DyenDB	195-200	A
196	I GERE			DyenDB	196-002	A
197	GRUA			DyenDB	197-205	A
198	EERE			DyenDB	198-002	A
199	PENDE			DyenDB		A
200	SFUNGARISIN			DyenDB		A
201	ME			DyenDB	201-204	A
202	GRUA			DyenDB	202-203	A
203	DHASO			DyenDB		A
204	KRIMP			DyenDB	204-200	A
205	JU			DyenDB	205-200	A
206	VIT			DyenDB	206-007	A
207	I VERDHE			DyenDB	207-007	A
