156|Abaev 1959–1995|Abaev, V. I. (1959–1995). Istoriko-etimologicheskij slovar’ osetinskogo jazyka [A Historical-Etymological Dictionary of the Ossetic Language]. 5 volumes: A – K (1959), L – R (1973), S – T (1979), U – Z (1989), Register (1995). Leningrad and Moscow: Nauka.
436|Adams 1982|Adams, Douglas Q. (1982). “Studies in Tocharian Vocabulary”. In: Journal of the American Oriental Society 102, pp. 133–136.
148|Adams 1999a|Adams, Douglas Q. (1999a). A Dictionary and Thesaurus of Tocharian A. Amsterdam and Atlanta: Rodopi.
161|Adams 1999b|Adams, Douglas Q. (1999b). Dictionary of Tocharian B. Amsterdam: Rodopi.
345|Adams 2013|Adams, Douglas Q. (2013). A Dictionary of Tocharian B. second revised and greatly enlarged edition. Amsterdam: Rodopi.
177|Ahlner, Felix|Ahlner, Felix. The Elfdalian dialect of Swedish. PhD Linguistics, Lund University, unpublished Ms. provided by Gerd Carling 2013-02-27.
96|Al et al. 1983|Al, B. P. F. et al. (1983). Groot woordenboek Duits-Nederlands. Utrecht and Antwerpen: Van Dale Lexicografie. isbn: 9789066481022.
87|Albanian Swadesh list from en.wiktionary.org|Albanian Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Albanian_Swadesh_list.
447|Alff 1906|Alff, S. et al. (1906). Wörterbuch der luxemburgischen Mundart. Second Luxembourgish Dictionary from 1906. 1 Volume. Luxemburg: Huss.
291|Allen 1987|Allen, William Sidney (1987). Vox Graeca. The Pronunciation of Ancient Greek. 3rd ed. Cambridge: Cambridge University Press.
426|Anagnostopulos 1926|Anagnostopulos, G. P. (1926). Tsakonische Grammatik. Texte und Forschungen zur byzantinisch-neugriechischen Philologie 5. Berlin and Athen: Urania and Sakellarios.
118|Ancient Greek Swadesh list from en.wiktionary.org|Ancient Greek Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Ancient_Greek_Swadesh_list.
228|Anderson, Cormac|Anderson, Cormac. Max Planck Institute for Evolutionary Anthropology.
460|Andriotis 1974|Andriotis, Nikolaos (1974). Lexikon der Archaismen in neugriechischen Dialekten. Wien: Österreichische Akademie der Wissenschaften.
271|Andriotis 1999|Andriotis, Nikolaos et al., eds. (1999). Dictionary of Standard Modern Greek. Thessaloniki: Institute of Modern Greek Studies. url: http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/index.html.
419|Andronovs 2009|Andronovs, Aleksejs (2009). “Latgaliešu literārā valoda leksikostatistikas gaismā”. In: Ontona Skryndys Latgalı̄šu gramatikai 100. 1. storptautyskuo latgalistikys konferen, ce (Sanktpı̄terburga, 2008. goda 19.–20. septembris). Ed. by Aleksejs Andronovs et al. url: http://www.lu.lv/filol/latgalistica/doc/LKM_1.pdf.
374|ACLT|Annotated Corpus of Luwian Texts (ACLT) (2016). url: http://web-corpora.net/LuwianCorpus.
106|Armenian Swadesh list from en.wiktionary.org|Armenian Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Armenian_Swadesh_list.
218|Árnason 2002|Árnason, Mörður, ed. (2002). Íslensk orðabók. Icelandic dictionary. Reykjavík: Edda.
302|Aura Jorro 1985|Aura Jorro, Francisco (1985). Diccionario Micénico. Vol. I. Diccionario Griego-Español I. covers words beginning with syllabograms <a> to <nu>. Madrid: Consejo Superior de Investigaciones Científicas.
303|Aura Jorro 1993|Aura Jorro, Francisco (1993). Diccionario Micénico. Vol. II. Diccionario Griego-Español II. covers words beginning with syllabograms <o> to <*69>. Madrid: Consejo Superior de Investigaciones Científicas.
2|Auty 1960|Auty, R. (1960). Handbook of Old Church Slavonic Part II – Text and Glossary. London: Athlone Press.
382|Babinotis 2010|Babinotis, George (2010). Etymological Dictionary of the Modern Greek Language. Athens: Centre for Lexicography.
320|Bailey 1979|Bailey, Harold Walter (1979). Dictionary of Khotan Saka. Descriptive and etymological dictionary, mostly reliable. Unfortunately without index of meanings. Cambridge: Cambridge University Press.
3|Ball 1993|Ball, M., ed. (1993). The Celtic Languages. London: Routledge.
115|Baltic Swadesh list from en.wiktionary.org|Baltic Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Swadesh_list_for_Baltic_languages.
195|Baoill 1986|Baoill, Dónall P. Ó, ed. (1986). Foclóir Póca (English-Irish dictionary). Ireland: Criterion Press.
187|Barker 1969|Barker, Muhammad Abd-al-Rahman (1969). A course in Baluchi. url: http://dsal.uchicago.edu/dictionaries/barker/.
184|Bartholomae 1904|Bartholomae, Christian (1904). Altiranisches Wörterbuch. Strassburg: K. J. Trübner.
349|Bartoněk 2003|Bartoněk, Antonín (2003). Handbuch des mykenischen Griechisch. Heidelberg: Universitätsverlag Carl Winter.
277|Bedrossian 1879|Bedrossian, Mathias (1879). New Dictionary Armenian–English. Venice: S. Lazarus Armenian Academy.
72|Beekes 1995|Beekes, Robert (1995). Comparative Indo-European Linguistics: An Introduction. Amsterdam: John Benjamins.
66|Beekes 2010|Beekes, Robert (2010). Etymological Dictionary of Greek. .1–2. Leiden Indo-European Etymological Dictionary Series (IEED) 10. Leiden: Brill.
99|Bellamy, Kate|Bellamy, Kate. Max Planck Institute for Psycholinguistics, MPI Psycholinguistics, Nijmegen ’Evolutionary Processes in Language and Culture’: Student Assistant 2011, Research Assistant 2012–2013.
338|Belyaev, Oleg|Belyaev, Oleg. Lomonosov Moscow State University.
324|Belyaev 2013|Belyaev, Oleg (2013). Ossetic wordlists for the Global Lexicostatistical Database. url: http://starling.rinet.ru/cgi-bin/response.cgi?root=new100&morpho=0&basename=new100%5Cier%5Cirn.
337|Belyaev & Vydrin 2013|Belyaev, Oleg & Arseniy Vydrin (2013). Data collection for the Evolution of Semantic Systems (EoSS) project. url: http://www.mpi.nl/departments/other-research/research-consortia/eoss/list-of-languages.
4|Bergsland & Vogt 1962|Bergsland, K. & H. Vogt (1962). “On the validity of glottochronology”. In: Current Anthropology 3, pp. 115–153.
40|Ancient Greek Tutorials|Berkeley Language Center. Ancient Greek Tutorials. url: http://socrates.berkeley.edu/~ancgreek/ancient_greek_start.html.
210|Bernsten & Larsen 1925|Bernsten, M. & A. B. Larsen (1925). Stavanger Bymål. Oslo: Aschehoug.
287|Bezlaj 1977–2007|Bezlaj, France (1977–2007). Etimološki slovar slovenskega jezika. Etymology dictionary of Slovene. Ljubljana: Mladinska knjiga založba ZRC.
217|Bjerrum & Bjerrum 1974|Bjerrum, Marie & Anders Bjerrum (1974). Ordbog over Fjoldemålet. Danish-Fjoldemål dictionary. Copenhagen: Akademisk Forlag.
181|Blažek, Václav|Blažek, Václav. Armenian Swadesh list. unpublished manuscript.
193|Blažek 2009|Blažek, Václav (2009). “On the position of Gaulish within Celtic from the point of view of glottochronology”. In: Indogermanische Forschungen 114. Ed. by Benjamin W. Fortson, Elisabeth Rieken & Paul Widmer, pp. 257–299.
203|Blažek 2010|Blažek, Václav (2010). Glottochronogical analysis of the Greek lexicon: Modern, Tsakonian, Old and Mycenaean Greek. Graeco-Latina Brunensia 15.
205|Blažek & Hegedűs 2012|Blažek, Václav & Irén Hegedűs (2012). “On the position of Nuristani within Indo-Iranian”. In: The Sound of Indo-European 2. Papers on Indo-European Phonetics, Phonemics and Morphophonemics (Opava, Nov. 2010). Ed. by Roman Sukač & Ondřej Šefčík. Lincom Studies in Indo-European Linguistics 41. Munich: Lincom, pp. 40–66.
239|Bock et al. 2010|Bock, Alfred et al. (2010). An English-Cornish Glossary in the Standard Written Form. url: http://www.magakernow.org.uk/idoc.ashx?docid=205a3451-0e49-4216-a825-d4a4ceba9ba2&version=-1.
168|Boretzky & Igla 1994|Boretzky, Norbert & Birgit Igla (1994). Wörterbuch Romani-Deutsch-Englisch für den südosteuropäischen Raum. Wiesbaden: Harrassowitz.
5|Borooah 1971|Borooah, A. (1971). English-Sanskrit Dictionary. Assam: Publication board.
259|Boryś 2005|Boryś, W. (2005). Słownik etymologiczny języka polskiego. Etymology dictionary of the Polish language. Kraków: Wydawnictwo Literackie.
82|Boutkan & Siebinga 2005|Boutkan, Dirk & Sjoerd M. Siebinga (2005). Old Frisian Etymological Dictionary. Leiden: Brill.
47|Buck 1988|Buck, Carl Darling (1988). A Dictionary of Selected Synonyms in the Prinicipal Indo-European Languages. Chicago: University of Chicago Press.
438|Buddruss & Degener 2015|Buddruss, Georg & Almuth Degener (2015). Materialen zur Prasun-Sprach des Afghanischen Hindukusch. Vol. 1: Texte und Glossar. Harvard Oriental Series 80. Cambridge, Massachusetts. isbn: 978-0-674-73741-9.
318|Bulgarian monolingual dictionary|Bulgarian monolingual dictionary. url: https://rechnik.chitanka.info/.
6|Cardona & Jain 2003|Cardona, G. & D. Jain, eds. (2003). The Indo-Aryan Languages. London: Routledge.
104|Cardona & Suthar 2003|Cardona, George & Babu Suthar (2003). “Gujarati”. In: The Indo-Aryan Languages. Ed. by George Cardona & Dhanesh Jain.
176|Carling, Gerd|Carling, Gerd. Lund University, Associate Professor Linguistics, Lund University, Dr.Phil. Comparative Indo-European Linguistics and Sanskrit, Gothenburg University.
147|Carling 2009|Carling, Gerd (2009). Dictionary and Thesaurus of Tocharian A. In collab. with Georges-Jean Pinault & Werner Winter. Vol. 1: A-J. Wiesbaden: Harrassowitz.
132|Carruba 1970|Carruba, Onofrio (1970). Das Palaische: Texte, Grammatik, Lexikon. Studien zu den Boğazköy-Texten (StBoT) 10. a full PDF version can be retrieved via http://www.hethport.uni-wuerzburg.de/stbot/anforder.php?band=10. Wiesbaden: Harrassowitz.
351|Casaretto 2004|Casaretto, Antje (2004). Nominale Wortbildung der gotischen Sprache. Die Derivation der Substantive. Heidelberg: Winter.
138|Cathcart, Chundra|Cathcart, Chundra. University of California, Berkeley.
336|Catt 2014|Catt, Adam (2014). “A “Lost” i-Stem: Pāli pihi- ‘back’”. In: Das Nomen im Indogermanischen. Morphologie, Substantiv versus Adjektiv, Kollektivum. Akten der Arbeitstagung der Indogermanischen Gesellschaft vom 14. bis 16. September 2011 in Erlangen. Ed. by N. Oettinger & Th. Steer. 114. Wiesbaden: Reichert, pp. 24–31.
267|Cejtlin, Bláhová & Večerka 1999|Cejtlin, Ralja Mixajlovna, Emilie Bláhová & Radoslav Večerka, eds. (1999). Staroslavjanskij slovar’. Po rukopisjam X-XI vjekov. Old Church Slavonic dictionary (based on the Canon only). Moskva: Izdatel’stvo Russkij jazyk.
42|Celtic Swadesh list from en.wiktionary.org|Celtic Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Celtic_Swadesh_lists.
113|Celtic Swadesh lists from en.wiktionary.org|Celtic Swadesh lists from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Celtic_languages.
55|Centre National de Ressources Textuelles et Lexicales|Centre National de Ressources Textuelles et Lexicales. French etymological dictionary. url: http://www.cnrtl.fr/etymologie/.
420|Ceplı̄tis 1995|Ceplı̄tis, L. et al. (1995). Latviešu valodas pareizrakstı̄bas un pareizrunas vārdnı̄ca : ap 80 000 vārdu. Latvian phonetics/phonology. Rı̄ga.
100|Chandralal 2010|Chandralal, Dileep (2010). Sinhala. Amsterdam and Philadelphia: John Benjamins.
270|Chantraine 1968–1980|Chantraine, Pierre (1968–1980). Dictionnaire étymologique de la langue grecque. histoire des mots. Paris: Klinksieck.
459|Cheung 2005|Cheung, Johnny (2005). Sanskrit meh, míh, meghá, niméghamāna with an excursion on Persian mih. Ed. by G. Schweiger. Taimering: Schweiger VWT-Verlag, pp. 45–55.
83|Cheung 2007|Cheung, Johnny (2007). Etymological Dictionary of the Iranian Verb. Leiden: Brill.
85|Cioranescu 2002|Cioranescu, Alexandru (2002). Dictionarul etimologic al limbii romane. Bucarest: Saeculum.
319|Clackson 1994|Clackson, James (1994). The Linguistic Relationship Between Armenian and Greek. Oxford: Blackwell.
234|Cleasby & Vigfusson 1957|Cleasby, Richard & Gudbrand Vigfusson (1957). An Icelandic-English dictionary. 2nd ed. Oxford: Oxford University Press.
258|Collection of Lower Sorbian dictionaries|Collection of Lower Sorbian dictionaries. url: http://niedersorbisch.de/.
266|Collection of monolingual Slovak dictionaries|Collection of monolingual Slovak dictionaries. url: http://slovniky.juls.savba.sk/.
264|Collection of multilingual and translation Slovak dictionaries|Collection of multilingual and translation Slovak dictionaries. url: http://slovnik.azet.sk/.
238|cornish dictionary – gerlyver kernewek |cornish dictionary – gerlyver kernewek. url: http://www.cornishdictionary.org.uk.
423|DCECH|Corominas, Joan & José A. Pascual (1980–1991). Diccionario crítico etimológico castellano e hispánico (DCECH). 6 volumes. Madrid: Editorial Gredos.
91|Corréard & Grundy 1994|Corréard, Marie-Hélène & Valerie Grundy, eds. (1994). The Oxford-Hachette French Dictionary, French-English, English-French. Oxford: Oxford University Press.
401|Crawford 2011|Crawford, Michael H. et al. (2011). Imagines Italicae. A Corpus of Italic Inscriptions. Vol. 1–3. London: Institute of Classical Studies.
329|Danker 2000|Danker, Frederick William (2000). A Greek-English Lexicon of the New Testament and other Early Christian Literature (BDAG). 3rd ed. Chicago: University of Chicago Press.
7|Davis 1984|Davis, A.L. (1984). Basic Colloquial Maithili. A Maithili-Nepali-English Vocabulary with Some Structural Notes. Delhi: Motilal.
452|Dawkins 1916|Dawkins, R. M. (1916). Modern Greek in Asia Minor. A Study of the Dialects of Sílli, Cappadocia, and Phárasa with Grammar, Texts, Translations, and Glossary. Cambridge: Cambridge University Press.
226|De Bhaldraithe 1959|De Bhaldraithe, Tomás (1959). English-Irish dictionary. Dublin: Oifig an tSoláthair.
143|de Blois, François|de Blois, François. “The Name of the Black Sea”. In: Iranian Languages and Texts from Iran and Turan. Ronald E. Emmerick Memorial Volume. Ed. by M. Macuch, M. Maggi & W. Sundermann. Wiesbaden: Harassowitz, pp. 1–8.
183|de Vaan 2003|de Vaan, Michiel (2003). The Avestan Vowels. Amsterdam: Rodopi.
54|de Vaan 2008|de Vaan, Michiel (2008). Etymological Dictionary of Latin and the other Italic Languages. Leiden: Brill.
214|de Vries 1961|de Vries, Jan (1961). Altnordisches Etymologisches Wörterbuch. Old Norse etymological dictionary. Leiden: Brill.
224|de Vries 1997|de Vries, Jan (1997). Nederlands Etymologisch Woordenboek. Leiden: Koninklijke Brill.
164|Decker 1992|Decker, Kendall (1992). Languages of Chitral. Sociolinguistic Survey of Northern Pakistan 5. High Wycombe, Buckinghamshire: SIL.
157|Delamarre 2003|Delamarre, Xavier (2003). Dictionnaire de la langue gauloise. une approche linguistique du vieux-celtique continental. 2nd ed. Paris: Errance.
125|Delaporte 2006|Delaporte, Raymond (2006). Elementary Breton-English & English-Breton Dictionary. 2nd ed. Lesneven: Mouladurioù Hor Yezh.
192|Dell’Andrea 1997|Dell’Andrea, Don Lorenzo (1997). Vocabolario italiano-ladino di Selva di Cadore, Taliàn-Selvàn. Pubblicazioni e studi / Union de i ladiñ de Selva 11. Selva di Cadore (BL): Union de i ladiñ de Selva. url: http://www.istitutoladino.it/index.php?option=com_content&view=article&id=45.
369|Demiraj 1997|Demiraj, Bardhyl (1997). Albanische Etymologien. Untersuchungen zum albanischen Erbwortschatz. Leiden Studies in Indo-European 7. Amsterdam and Atlanta: Rodopi.
81|Derksen 2008|Derksen, Rick (2008). Etymological Dictionary of the Slavic Inherited Lexicon. Leiden: Brill.
353|Derksen 2015|Derksen, Rick (2015). Etymological Dictionary of the Baltic Inherited Lexicon. Leiden Indo-European Etymological Dictionary Series 13. Leiden: Brill.
8|Deschler 1987|Deschler, J. P. (1987). Kleines Wörterbuch der kirchenslavischen Sprache. Wortschatz der gebräuchlichsten liturgischen Texte mit deutscher übersetzung. München: Otto Sagner.
309|Deshayes 2003|Deshayes, Albert (2003). Dictionnaire étymologique du breton. Douarnenez: chasse-marée.
97|Det Danske Sprog- og Litteraturselskab 2011|Det Danske Sprog- og Litteraturselskab (2011). Den Danske Ordbog. Internet version of the official Danish Dictionary, funded by the Danish Ministry of Culture. url: http://ordnet.dk/ddo/.
330|Deutsche Bibelgesellschaft|Deutsche Bibelgesellschaft. The UBS Greek New Testament. A Reader’s Edition. With a running dictionary and a glossary (pp. 681–704) of all words occurring more than 30 times in the Greek NT. Stuttgart: Deutsche Bibelgesellschaft.
41|Dictionary of spoken Sanskrit|Dictionary of spoken Sanskrit. url: http://spokensanskrit.de/.
283|Dictionnaire historique Meurgorf |Dictionnaire historique Meurgorf. Historical dictionary in the process of being built up and therefore partly incomplete. Always check also GIB. url: http://meurgorf.brezhoneg.bzh/.
77|Diez 1864|Diez, Friedrich (1864). An Etymological Dictionary of the Romance Languages. Strassburg: Trübner.
293|Dunkel 2014a|Dunkel, George E. (2014a). Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP). .1: Einleitung, Terminologie, Lautgesetze, Adverbialendungen, Nominalsuffixe, Anhänge und Indices. Indogermanische Bibliothek, 2. Reihe, Wörterbücher. NB: Vol. 1 and Vol. 2 have their own pagination. Heidelberg: Winter.
294|Dunkel 2014b|Dunkel, George E. (2014b). Lexikon der indogermanischen Partikeln und Pronominalstämme (LIPP). .2: Lexikon. Indogermanische Bibliothek, 2. Reihe, Wörterbücher. NB: Vol. 1 and Vol. 2 have their own pagination. Heidelberg: Winter.
56|Dunn, Michael|Dunn, Michael. Max Planck Institute for Psycholinguistics.
359|Durkin-Meisterernst 2004|Durkin-Meisterernst, Desmond (2004). Dictionary of Manichaean Middle Persian and Parthian. Corpus Fontum Manichaeorum – Dictionary of Manichaean Texts III,1 Texts from Central Asia and China. The standard dictionary of Manichaean Western Middle Iranian. Contains only published texts. Turnhout: Brepols.
190|Dwelly 1911|Dwelly, Edward (1911). Faclair Gàidhlig gu Beurla le Dealbhan. An English - Scottish Gaelic dictionary incorporating Dwelly. url: http://www.faclair.com/.
229|Dwelly 1918|Dwelly, Edward (1918). The illustrated Gaelic-English dictionary. containing every Gaelic word and meaning given in all previously published dictionaries and a great number never in print before, to which is prefixed a concise Gaelic grammar. Fleet, Hants.c 1997 by Isidore Dyen, Joseph Kruskal, and Paul Black. Redistributable for academic, non-commercial purposes.
1|Dyen, Kruskal & Black 1992|Dyen, Isidore, Joseph Kruskal & Paul Black (1992). “An Indoeuropean Classification. a Lexicostatistical Experiment”. In: Transactions of the American Philosophical Society 82/5. Data Copyright 
212|Eekman, Stephan|Eekman, Stephan. University of Amsterdam.
342|Eichner 1982|Eichner, Heiner (1982). Studien zu den indogermanischen Numeralia. Rekonstruktion des urindogermanischen Formensystems und Dokumentation seiner einzelsprachlichen Vertretung bei den niederen Kardinalia ‘zwei’ bis ‘fünf ’. Wien: Universität Wien.
365|Eichner 1985|Eichner, Heiner (1985). “Malwa, eine hieroglyphenluwisch-sidetische Wortgleichung”. In: Münchener Studien zur Sprachwissenschaft (MSS) 45, pp. 5–21.
375|Eichner 2007|Eichner, Heiner (2007). “Und machte Grab um Grab. Zur Interpretation der Inschrift TL 21 in Pinara”. In: Studien in Lykien 8. Ergänzungsheft Jahreshefte des Österreichischen Archäologischen Instituts. Ed. by M. Seyer. Wien, pp. 103–108.
396|Eisenberg & Kunkel-Razum 2009|Eisenberg, Peter, Kathrin Kunkel-Razum, et al. (2009). Duden. 8th ed. Vol. 4: Die Grammatik. Berlin: Dudenverlag.
300|Electronic Dictionary of the Irish Language (eDIL)|Electronic Dictionary of the Irish Language (eDIL). url: http://edil.qub.ac.uk/dictionary/search.php.
333|Emmerick 1968|Emmerick, Ronald E. (1968). Saka Grammatical Studies. London et al.: Oxford University Press.
261|English-Czech-English (i.a.) dictionary|English-Czech-English (i.a.) dictionary. url: http://slovnik.cz/.
316|Ernout & Meillet 1985|Ernout, Alfred & Antoine Meillet (1985). Dictionnaire étymologique de la langue latine. Histoire des mots. Quatrième édition, quatrième tirage augmenté d’additions et de corrections nouvelles par Jacques André. Paris: Klincksieck.
122|Erschler 2011|Erschler, David (2011). Field Notes. Expert in Iron and Digor dialects of Ossetic.
86|Various Spanish dictionaries|Real Academia Española. Various Spanish dictionaries. url: http://www.rae.es.
52|Etymology online|Etymology online. url: http://www.etymonline.com/.
339|Evans & Fleuriot 1985|"Evans, Claude & Léon Fleuriot (1985). A dictionary of Old Breton - Dictionnaire du vieux breton. Historical and comparative. .2: A supplement to the ""Dictionnare des Gloses en Vieux Breton"". Toronto: Prepcorp."
310|Evans 1964|Evans, D. Simon (1964). A Grammar of Middle Welsh. Dublin: Dublin Institute for Advanced Studies.
114|Extended Indo-Iranian Swadesh list from en.wiktionary.org|Extended Indo-Iranian Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_%28extended%29.
240|Falileyev 2000|Falileyev, Alexander (2000). Etymological glossary of Old Welsh. Tübingen: Niemeyer.
235|Favereau 1997a|Favereau, Francis (1997a). Dictionnaire du breton contemporain – Geriadur ar brezhoneg a-vremañ. Consult printed version for phonetical transcriptions and examples of usage. Morlaix: Skol Vreizh. url: http://www.arkaevraz.net/dicobzh/index.
288|Favereau 1997b|Favereau, Francis (1997b). Grammaire du Breton contemporain – Yezhadur ar brezhoneg a-vremañ. Morlaix: Skol Vreizh.
393|Feist 1939|Feist, Siegmund (1939). Vergleichendes Wörterbuch der gotischen Sprache mit Einschluss des Krimgotischen und sonstiger zerstreuter Überreste des Gotischen. 3. neubearb. u. verm. Auflage. Leiden: Brill.
301|Fleuriot 1964a|Fleuriot, Léon (1964a). Dictionnaire des gloses en vieux breton. Collection linguistique publiée par la Société de Linguistique de Paris 62. Paris: Klincksiek.
335|Fleuriot 1964b|Fleuriot, Léon (1964b). Le vieux breton. Éléments d’une grammaire. Collection linguistique publiée par la Société de Linguistique de Paris. Paris: Klincksiek.
360|Fraenkel 1962–1965|Fraenkel, Ernst (1962–1965). Litauisches Etymologisches Wörterbuch. Heidelberg: Carl Winter Universitätsverlag.
34|FREELANG Cornish-English-Cornish online dictionary|FREELANG Cornish-English-Cornish online dictionary. url: http://www.freelang.net/online/cornish.php?lg=gb.
385|Freiberg, Cassandra|Freiberg, Cassandra. MPI SHH, FSU Jena.
450|Friedrich 1927|Friedrich, J. (1927). Zu AO 25, 2 (Aus dem hethitischen Schrifttum, 2. Heft). 37 N.F. 3, pp. 177–204. url: http://menadoc.bibliothek.uni-halle.de/dmg/periodical/titleinfo/153149.
174|Frisk 1973|Frisk, Hjalmar (1973). Griechiches Etymologisches Wörterbuch. Heidelberg: Carl Winter.
88|Friulian Swadesh list from en.wiktionary.org|Friulian Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Friulian_Swadesh_list.
137|Garrett, Andrew|Garrett, Andrew. University of California, Berkeley.
236|Geiriadur Prifysgol Cymru (GPC)|Geiriadur Prifysgol Cymru (GPC). A dictionary of the Welsh Language. url: http://www.welsh-dictionary.ac.uk/.
